query_id;time_horizon;sceanrio_time;profile;query_duration;query_start;query_end;query_status
nan;2D;2018-11-20 13:30:00+01:00;SV;2,0;2018-12-07 15:41:06.082794;2018-12-07 15:41:08.145379;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: d036e9bd-435a-4083-b1ae-e6dfa9cf4ce1
nan;2D;2018-11-20 14:30:00+01:00;SV;2,0;2018-12-07 15:41:08.160951;2018-12-07 15:41:10.239122;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 20814efe-5bcf-4914-bf35-1108af94daa1
nan;2D;2018-11-20 15:30:00+01:00;SV;2,0;2018-12-07 15:41:10.254739;2018-12-07 15:41:12.332932;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: f7d89ac6-8799-4eaf-850b-a8ec65a2cfd2
nan;2D;2018-11-20 16:30:00+01:00;SV;2,0;2018-12-07 15:41:12.348521;2018-12-07 15:41:14.473600;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: d0a93990-bb73-4898-ace7-b63321660971
nan;2D;2018-11-20 17:30:00+01:00;SV;2,0;2018-12-07 15:41:14.489174;2018-12-07 15:41:16.567331;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: a72d337e-cede-4c8d-bf33-66bf9408b443
nan;2D;2018-11-20 18:30:00+01:00;SV;2,0;2018-12-07 15:41:16.582974;2018-12-07 15:41:18.661115;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 83c5bfc8-2a58-4e20-a344-024f24a2fa0a
nan;2D;2018-11-20 19:30:00+01:00;SV;5,0;2018-12-07 15:41:18.676731;2018-12-07 15:41:23.426802;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 440ce0ed-8cae-4b93-a666-1a68265bd241
nan;2D;2018-11-20 20:30:00+01:00;SV;3,0;2018-12-07 15:41:23.426802;2018-12-07 15:41:26.510456;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: a52260a8-f47e-4979-8be1-4c96e53a893a
nan;2D;2018-11-20 21:30:00+01:00;SV;3,0;2018-12-07 15:41:26.526076;2018-12-07 15:41:29.678085;Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: f268881d-5db6-4dc5-90ef-60d550f6e380
nan;2D;2018-11-20 22:30:00+01:00;SV;3,0;2018-12-07 15:41:29.678085;2018-12-07 15:41:32.787549;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 15cfd2d4-4639-4e41-aa60-190c44ce0858
